ProjectAccession,File, ExclusionReason
PXD031385,MSB51071A__F172197_.mzid.gz,No MS:1002511 CV param found
PXD031668,mzIdentML_Nsp1_DSSO_2pc_boostBetween_consec.mzid,File mzIdentML_Nsp1_DSSO_2pc_boostBetween_consec.mzid is schema valid. | Error parsing mzIdentML_Nsp1_DSSO_2pc_boostBetween_consec.mzid | Missing peak list file: recal_B201023_06_Lumos_FS_IN_120_nsp1_DSSO_3C_pepSEC_frac6_rep1.mzML
PXD033004,UbK48PT-UbG76C.mzid,No MS:1002511 CV param found
PXD033175,04122018_Gavis_YP_285_egfp_glo_unXlink.mzid.gz,No MS:1002511 CV param found
PXD033615,549268_L_3_73Ah_Input.mzid.gz,No MS:1002511 CV param found
PXD035201,20210625_Rix_Yi_Exclusion_FBDD_95_1.raw__F002658_.mzid.gz,No MS:1002511 CV param found
PXD035655,peptides_1_1_0.mzid.gz,No MS:1002511 CV param found
PXD037894,PD1280_SuTex_FBDD_Soto_bio1_run2.raw__F003497_.mzid.gz,No MS:1002511 CV param found
PXD037983,F3_peptides_1_1_0.mzid.gz,No MS:1002511 CV param found
PXD038128,190627_VLopez_Khavari_9923_PR1_VLP_PBS_m3.raw_20190702_Byonic.mzid.gz,No MS:1002511 CV param found
PXD039612,All_Rat-rewiewed.mzid.gz,No MS:1002511 CV param found
PXD041334,560153_293_Myc_NBioTAP_IP.mzid.gz,No MS:1002511 CV param found
PXD041955,20211219_Eclipse_LC4_G2_Trap_backflash_Peplib20_DSBSO_pl2_MS3_OTOTIT.mzid.gz,File 20211219_Eclipse_LC4_G2_Trap_backflash_Peplib20_DSBSO_pl2_MS3_OTOTIT.mzid is schema valid. | Error parsing 20211219_Eclipse_LC4_G2_Trap_backflash_Peplib20_DSBSO_pl2_MS3_OTOTIT.mzid | Missing peak list file: 20211219_Eclipse_LC4_G2_Trap_backflash_Peplib20_DSBSO_pl2_MS3_OTOTIT.mzML
PXD042282,2023_6_35_51_PM_FileSize_1732075728_Byte_F012915.mzid,No MS:1002511 CV param found
PXD043595,AT_CNBr_peptides_1_1_0.mzid,No MS:1002511 CV param found
PXD044574,GPM22200017988.mzid.gz,No MS:1002511 CV param found
PXD044625,20230130_AH_LLQE_HekMIV_IAAUV_IAA4UV_TC20220526_230206.raw_20230208_Byonic_C.mzid.gz,No MS:1002511 CV param found
PXD046634,CtRoco-GTPgS.mzid.gz,File CtRoco-GTPgS.mzid is schema valid. | Error parsing CtRoco-GTPgS.mzid | Missing peak list file: CtRoco-GTPgS.mzML
PXD046895,R545-Neg-Ctrl_Craig_F020245.mzid.gz,No MS:1002511 CV param found
PXD048297,peptides_1_1_0.mzid.gz,No MS:1002511 CV param found
PXD048298,peptides_1_1_0.mzid.gz,No MS:1002511 CV param found
PXD051423,E240411_AMC_Mart_LDLandLDLR_SulfoSDA_007and013Ratios_AllData_Xi1.8_filtered_searches_4CCFrags_5TotFrags.mzid.gz,E240411_AMC_Mart_LDLandLDLR_SulfoSDA_007and013Ratios_AllData_Xi1.8_filtered_searches_4CCFrags_5TotFrags.mzid:10152: Schemas validity error : Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'cvRef' is required but missing. | E240411_AMC_Mart_LDLandLDLR_SulfoSDA_007and013Rati...
PXD051588,E240418_AMC_Mart_LDLandLDLR_SulfoSDA_05and1Ratios_pepSEC_A2toB6_AspN_pepSEC_A3toB6_Xi1.8_ManFilt_4CCFrags_5TotFrags.mzid.gz,E240418_AMC_Mart_LDLandLDLR_SulfoSDA_05and1Ratios_pepSEC_A2toB6_AspN_pepSEC_A3toB6_Xi1.8_ManFilt_4CCFrags_5TotFrags.mzid:8279: Schemas validity error : Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'cvRef' is required but missing. | E240418_AMC_Mart_LDLandLDLR_SulfoSDA_05...
PXD051688,2023-1215_Ecoli-TMT18plex-TotalPeptideAmount.mzid.gz,No MS:1002511 CV param found
PXD051742,DSSO-carbamate_QBP_monolinks.mzid.gz,No MS:1002511 CV param found
PXD051913,2023_3_13_28_AM_FileSize_1261863517_Byte_F012933.mzid.gz,No MS:1002511 CV param found
PXD052138,PYR_infected_GIGYF2_NAQ444_J100_201204_4.mzid.gz,No MS:1002511 CV param found
PXD052584,20210222_AN_DSSOXL_HisSARSCoV2N_20-2_soln2b_5x.mzid.gz,File 20210222_AN_DSSOXL_HisSARSCoV2N_20-2_soln2b_5x.mzid is schema valid. | Error parsing 20210222_AN_DSSOXL_HisSARSCoV2N_20-2_soln2b_5x.mzid | Missing peak list file: 20210222_AN_DSSOXL_HisSARSCoV2N_20-2_soln2b_5x.mzML
PXD052832,Mito_merged_norm.mzid.gz,File Mito_merged_norm.mzid is schema valid. | Error parsing Mito_merged_norm.mzid | Missing peak list file: recal_B191112_14_HF_PR_IN_135_mito_DSSO_SOL_SCX22_hSAX03+04_rep1_NLmeth.mgf
PXD053253,Experiment_JMS987_S4_TH_WT_1_from_JMS987_Fusion_S4_TH_WT_1.mzid.gz,No MS:1002511 CV param found
PXD053415,Experiment_RA912_6MAM_from_RA912_66MAM.mzid.gz,No MS:1002511 CV param found
PXD053636,QE42774GFH.mzid.gz,File QE42774GFH.mzid is schema valid. | Error parsing QE42774GFH.mzid | Missing peak list file: QE42774GFH.mzML
PXD054199,P1129-4.mzid.gz,No MS:1002511 CV param found
PXD055077,SUMOylation_PhoX_TBDSPP_FAIMS_140823.mzid.gz,File SUMOylation_PhoX_TBDSPP_FAIMS_140823.mzid is schema valid. | Error parsing SUMOylation_PhoX_TBDSPP_FAIMS_140823.mzid | list index out of range
PXD055169,OrbitrapLUMOS_20220618_23_ITMSms3cid.mzid,No MS:1002511 CV param found
PXD055405,mascot_daemon_merge__20161015_HM_Substrates_FN_her2-18_.mzid.gz,No MS:1002511 CV param found
PXD055411,mascot_daemon_merge__fn_n3_bt474_matrixes_.mzid.gz,No MS:1002511 CV param found
PXD055603,mascot_daemon_merge__2016116_HM_SENSITIVE_T_LAP_.mzid.gz,No MS:1002511 CV param found
PXD056510,E240411_AMC_Mart_LDLandLDLR_SulfoSDA_007and013Ratios_AllData_Xi1.8_filtered_searches_4CCFrags_5TotFrags.mzid.gz,E240411_AMC_Mart_LDLandLDLR_SulfoSDA_007and013Ratios_AllData_Xi1.8_filtered_searches_4CCFrags_5TotFrags.mzid:10152: Schemas validity error : Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'cvRef' is required but missing. | E240411_AMC_Mart_LDLandLDLR_SulfoSDA_007and013Rati...
